VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,2023-02-01 00:40:37,2023-02-01 00:49:05,1.0,1.31,1.0,N,211,148,1,10.7,1.0,0.5,3.92,0.0,1.0,19.62,2.5,0.0
1,2023-02-01 00:05:26,2023-02-01 00:12:04,1.0,1.2,1.0,N,79,211,1,8.6,3.5,0.5,3.0,0.0,1.0,16.6,2.5,0.0
1,2023-02-01 00:01:25,2023-02-01 00:11:04,2.0,1.5,1.0,N,43,48,1,11.4,3.5,0.5,3.25,0.0,1.0,19.65,2.5,0.0
2,2023-02-01 00:41:37,2023-02-01 00:57:04,1.0,9.26,1.0,N,138,232,1,36.6,6.0,0.5,9.57,0.0,1.0,57.42,2.5,1.25
2,2023-02-01 00:58:51,2023-02-01 01:05:19,1.0,1.38,1.0,N,148,107,1,9.3,1.0,0.5,2.14,0.0,1.0,16.44,2.5,0.0
2,2023-02-01 00:55:13,2023-02-01 01:04:50,1.0,1.4,1.0,N,116,166,2,10.7,1.0,0.5,0.0,0.0,1.0,13.2,0.0,0.0
1,2023-02-01 00:05:41,2023-02-01 00:31:56,1.0,7.6,1.0,N,142,80,1,33.1,3.5,0.5,7.6,0.0,1.0,45.7,2.5,0.0
1,2023-02-01 00:11:41,2023-02-01 00:14:13,1.0,0.7,1.0,N,239,238,1,5.8,3.5,0.5,1.94,0.0,1.0,12.74,2.5,0.0
2,2023-02-01 00:09:52,2023-02-01 00:15:28,1.0,1.12,1.0,N,140,236,1,7.9,1.0,0.5,2.0,0.0,1.0,14.9,2.5,0.0
2,2023-02-01 00:24:57,2023-02-01 00:31:29,1.0,1.5,1.0,N,237,140,1,9.3,1.0,0.5,2.0,0.0,1.0,16.3,2.5,0.0
2,2023-02-01 00:44:21,2023-02-01 00:53:42,1.0,2.13,1.0,N,162,79,1,12.8,1.0,0.5,3.56,0.0,1.0,21.36,2.5,0.0
